|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     165 |         165 |       00:00:41 |       98.01% |              |       0.1005 |              |          0.0500 |
|     166 |         166 |       00:00:41 |       98.01% |              |       0.1033 |              |          0.0500 |
|     167 |         167 |       00:00:41 |       98.30% |              |       0.0965 |              |          0.0500 |
|     168 |         168 |       00:00:41 |       97.59% |              |       0.1082 |              |          0.0500 |
|     169 |         169 |       00:00:42 |       97.16% |              |       0.1148 |              |          0.0500 |
|     170 |         170 |       00:00:42 |       97.73% |       96.59% |       0.1015 |       0.1812 |          0.0500 |
|     171 |         171 |       00:00:42 |       98.86% |              |       0.0871 |              |          0.0500 |
|     172 |         172 |       00:00:42 |       97.59% |              |       0.1068 |              |          0.0500 |
|     173 |         173 |       00:00:43 |       97.59% |              |       0.0959 |              |          0.0500 |
|     174 |         174 |       00:00:43 |       97.16% |              |       0.1021 |              |          0.0500 |
|     175 |         175 |       00:00:43 |       97.59% |              |       0.1063 |              |          0.0500 |
|     176 |         176 |       00:00:43 |       97.59% |              |       0.0916 |              |          0.0500 |
|     177 |         177 |       00:00:44 |       97.44% |              |       0.1056 |              |          0.0500 |
|     178 |         178 |       00:00:44 |       98.15% |              |       0.0999 |              |          0.0500 |
|     179 |         179 |       00:00:44 |       98.58% |              |       0.0812 |              |          0.0500 |
|     180 |         180 |       00:00:44 |       97.44% |       96.02% |       0.1057 |       0.1810 |          0.0500 |
|     181 |         181 |       00:00:45 |       97.30% |              |       0.1006 |              |          0.0500 |
|     182 |         182 |       00:00:45 |       97.16% |              |       0.1043 |              |          0.0500 |
|     183 |         183 |       00:00:45 |       98.44% |              |       0.0870 |              |          0.0500 |
|     184 |         184 |       00:00:45 |       97.73% |              |       0.0940 |              |          0.0500 |
|     185 |         185 |       00:00:45 |       98.01% |              |       0.0874 |              |          0.0500 |
|     186 |         186 |       00:00:46 |       97.44% |              |       0.0926 |              |          0.0500 |
|     187 |         187 |       00:00:46 |       98.30% |              |       0.0838 |              |          0.0500 |
|     188 |         188 |       00:00:46 |       97.30% |              |       0.1013 |              |          0.0500 |
|     189 |         189 |       00:00:46 |       98.44% |              |       0.0839 |              |          0.0500 |
|     190 |         190 |       00:00:47 |       97.59% |       95.45% |       0.0925 |       0.1630 |          0.0500 |
|     191 |         191 |       00:00:47 |       97.87% |              |       0.0816 |              |          0.0500 |
|     192 |         192 |       00:00:47 |       97.59% |              |       0.1041 |              |          0.0500 |
|     193 |         193 |       00:00:47 |       97.73% |              |       0.1032 |              |          0.0500 |
|     194 |         194 |       00:00:48 |       97.87% |              |       0.0921 |              |          0.0500 |
|     195 |         195 |       00:00:48 |       97.87% |              |       0.0907 |              |          0.0500 |
|     196 |         196 |       00:00:48 |       97.73% |              |       0.0930 |              |          0.0500 |
|     197 |         197 |       00:00:48 |       97.73% |              |       0.0977 |              |          0.0500 |
|     198 |         198 |       00:00:49 |       97.59% |              |       0.1017 |              |          0.0500 |
|     199 |         199 |       00:00:49 |       97.44% |              |       0.0991 |              |          0.0500 |
|     200 |         200 |       00:00:49 |       97.44% |       94.32% |       0.0876 |       0.1541 |          0.0500 |
|     201 |         201 |       00:00:49 |       97.73% |              |       0.0920 |              |          0.0050 |
|     202 |         202 |       00:00:50 |       96.88% |              |       0.1162 |              |          0.0050 |
|     203 |         203 |       00:00:50 |       96.45% |              |       0.1346 |              |          0.0050 |
|     204 |         204 |       00:00:50 |       96.16% |              |       0.1256 |              |          0.0050 |
|     205 |         205 |       00:00:50 |       96.88% |              |       0.1222 |              |          0.0050 |
|     206 |         206 |       00:00:51 |       96.88% |              |       0.1072 |              |          0.0050 |
|     207 |         207 |       00:00:51 |       98.15% |              |       0.0882 |              |          0.0050 |
|     208 |         208 |       00:00:51 |       97.02% |              |       0.1086 |              |          0.0050 |
|     209 |         209 |       00:00:51 |       97.30% |              |       0.0904 |              |          0.0050 |
|     210 |         210 |       00:00:52 |       97.73% |       96.02% |       0.0953 |       0.1572 |          0.0050 |
|     211 |         211 |       00:00:52 |       97.30% |              |       0.0887 |              |          0.0050 |
|     212 |         212 |       00:00:52 |       97.16% |              |       0.0915 |              |          0.0050 |
|     213 |         213 |       00:00:52 |       98.30% |              |       0.0860 |              |          0.0050 |
|     214 |         214 |       00:00:53 |       98.30% |              |       0.0891 |              |          0.0050 |
|     215 |         215 |       00:00:53 |       97.59% |              |       0.0870 |              |          0.0050 |
|     216 |         216 |       00:00:53 |       97.87% |              |       0.0816 |              |          0.0050 |
|     217 |         217 |       00:00:53 |       97.87% |              |       0.0809 |              |          0.0050 |
|     218 |         218 |       00:00:54 |       98.30% |              |       0.0805 |              |          0.0050 |
|     219 |         219 |       00:00:54 |       98.30% |              |       0.0784 |              |          0.0050 |
|     220 |         220 |       00:00:54 |       98.58% |       96.02% |       0.0706 |       0.1490 |          0.0050 |
|     221 |         221 |       00:00:54 |       98.58% |              |       0.0729 |              |          0.0050 |
|     222 |         222 |       00:00:55 |       98.58% |              |       0.0754 |              |          0.0050 |
|     223 |         223 |       00:00:55 |       98.15% |              |       0.0781 |              |          0.0050 |
|     224 |         224 |       00:00:55 |       98.01% |              |       0.0743 |              |          0.0050 |
|     225 |         225 |       00:00:55 |       97.87% |              |       0.0815 |              |          0.0050 |
|     226 |         226 |       00:00:56 |       98.44% |              |       0.0715 |              |          0.0050 |
|     227 |         227 |       00:00:56 |       98.30% |              |       0.0796 |              |          0.0050 |
|     228 |         228 |       00:00:56 |       98.44% |              |       0.0747 |              |          0.0050 |
|     229 |         229 |       00:00:56 |       98.01% |              |       0.0859 |              |          0.0050 |
|     230 |         230 |       00:00:57 |       98.58% |       95.45% |       0.0767 |       0.1526 |          0.0050 |
|     231 |         231 |       00:00:57 |       98.72% |              |       0.0668 |              |          0.0050 |
|     232 |         232 |       00:00:57 |       98.44% |              |       0.0735 |              |          0.0050 |
|     233 |         233 |       00:00:57 |       98.58% |              |       0.0730 |              |          0.0050 |
|     234 |         234 |       00:00:58 |       98.86% |              |       0.0653 |              |          0.0050 |
|     235 |         235 |       00:00:58 |       97.87% |              |       0.0767 |              |          0.0050 |
|     236 |         236 |       00:00:58 |       98.15% |              |       0.0815 |              |          0.0050 |
|     237 |         237 |       00:00:58 |       98.86% |              |       0.0700 |              |          0.0050 |
|     238 |         238 |       00:00:59 |       98.15% |              |       0.0798 |              |          0.0050 |
|     239 |         239 |       00:00:59 |       99.01% |              |       0.0658 |              |          0.0050 |
|     240 |         240 |       00:00:59 |       98.44% |       95.45% |       0.0751 |       0.1478 |          0.0050 |
|     241 |         241 |       00:00:59 |       98.72% |              |       0.0693 |              |          0.0050 |
|     242 |         242 |       00:01:00 |       98.86% |              |       0.0750 |              |          0.0050 |
|     243 |         243 |       00:01:00 |       98.15% |              |       0.0657 |              |          0.0050 |
|     244 |         244 |       00:01:00 |       98.86% |              |       0.0770 |              |          0.0050 |
|     245 |         245 |       00:01:00 |       98.58% |              |       0.0725 |              |          0.0050 |
|     246 |         246 |       00:01:00 |       98.44% |              |       0.0709 |              |          0.0050 |
|     247 |         247 |       00:01:01 |       98.01% |              |       0.0797 |              |          0.0050 |
|     248 |         248 |       00:01:01 |       99.01% |              |       0.0667 |              |          0.0050 |
|     249 |         249 |       00:01:01 |       98.58% |              |       0.0742 |              |          0.0050 |
|     250 |         250 |       00:01:01 |       98.44% |       96.02% |       0.0688 |       0.1466 |          0.0050 |
|     251 |         251 |       00:01:02 |       99.43% |              |       0.0656 |              |          0.0050 |
|     252 |         252 |       00:01:02 |       98.72% |              |       0.0648 |              |          0.0050 |
|     253 |         253 |       00:01:02 |       98.58% |              |       0.0756 |              |          0.0050 |
|     254 |         254 |       00:01:02 |       98.01% |              |       0.0754 |              |          0.0050 |
|     255 |         255 |       00:01:03 |       98.72% |              |       0.0664 |              |          0.0050 |
|     256 |         256 |       00:01:03 |       98.44% |              |       0.0709 |              |          0.0050 |
|     257 |         257 |       00:01:03 |       98.44% |              |       0.0753 |              |          0.0050 |
|     258 |         258 |       00:01:03 |       98.15% |              |       0.0709 |              |          0.0050 |
|     259 |         259 |       00:01:04 |       97.73% |              |       0.0793 |              |          0.0050 |
|     260 |         260 |       00:01:04 |       98.72% |       94.89% |       0.0661 |       0.1528 |          0.0050 |
|     261 |         261 |       00:01:04 |       98.44% |              |       0.0767 |              |          0.0050 |
|     262 |         262 |       00:01:04 |       98.44% |              |       0.0743 |              |          0.0050 |
|     263 |         263 |       00:01:05 |       98.72% |              |       0.0668 |              |          0.0050 |
|     264 |         264 |       00:01:05 |       98.30% |              |       0.0735 |              |          0.0050 |
|     265 |         265 |       00:01:05 |       98.72% |              |       0.0693 |              |          0.0050 |
|     266 |         266 |       00:01:06 |       98.15% |              |       0.0735 |              |          0.0050 |
|     267 |         267 |       00:01:06 |       99.01% |              |       0.0662 |              |          0.0050 |
|     268 |         268 |       00:01:06 |       98.86% |              |       0.0670 |              |          0.0050 |
|     269 |         269 |       00:01:06 |       98.44% |              |       0.0652 |              |          0.0050 |
|     270 |         270 |       00:01:07 |       98.15% |       94.89% |       0.0699 |       0.1515 |          0.0050 |
|     271 |         271 |       00:01:07 |       99.15% |              |       0.0694 |              |          0.0050 |
|     272 |         272 |       00:01:07 |       98.72% |              |       0.0701 |              |          0.0050 |
|     273 |         273 |       00:01:07 |       98.72% |              |       0.0711 |              |          0.0050 |
|     274 |         274 |       00:01:08 |       98.72% |              |       0.0669 |              |          0.0050 |
|     275 |         275 |       00:01:08 |       98.44% |              |       0.0696 |              |          0.0050 |
|     276 |         276 |       00:01:08 |       98.72% |              |       0.0673 |              |          0.0050 |
|     277 |         277 |       00:01:08 |       97.87% |              |       0.0800 |              |          0.0050 |
|     278 |         278 |       00:01:09 |       99.57% |              |       0.0652 |              |          0.0050 |
|     279 |         279 |       00:01:09 |       98.58% |              |       0.0724 |              |          0.0050 |
|     280 |         280 |       00:01:09 |       98.44% |       95.45% |       0.0740 |       0.1498 |          0.0050 |
|======================================================================================================================|
