|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     112 |         112 |       00:00:57 |       98.01% |              |       0.0923 |              |          0.0020 |
|     113 |         113 |       00:00:58 |       97.59% |              |       0.0932 |              |          0.0020 |
|     114 |         114 |       00:00:58 |       97.02% |              |       0.1122 |              |          0.0020 |
|     115 |         115 |       00:00:59 |       98.15% |              |       0.0839 |              |          0.0020 |
|     116 |         116 |       00:00:59 |       97.87% |              |       0.0921 |              |          0.0020 |
|     117 |         117 |       00:00:59 |       98.44% |              |       0.0743 |              |          0.0020 |
|     118 |         118 |       00:01:00 |       97.59% |              |       0.0879 |              |          0.0020 |
|     119 |         119 |       00:01:01 |       98.44% |              |       0.0816 |              |          0.0020 |
|     120 |         120 |       00:01:01 |       98.30% |       93.75% |       0.0822 |       0.2321 |          0.0020 |
|     121 |         121 |       00:01:02 |       98.15% |              |       0.0757 |              |          0.0020 |
|     122 |         122 |       00:01:02 |       97.87% |              |       0.0899 |              |          0.0020 |
|     123 |         123 |       00:01:02 |       98.86% |              |       0.0741 |              |          0.0020 |
|     124 |         124 |       00:01:03 |       98.44% |              |       0.0820 |              |          0.0020 |
|     125 |         125 |       00:01:04 |       98.72% |              |       0.0678 |              |          0.0020 |
|     126 |         126 |       00:01:04 |       97.87% |              |       0.0848 |              |          0.0020 |
|     127 |         127 |       00:01:05 |       99.15% |              |       0.0649 |              |          0.0020 |
|     128 |         128 |       00:01:05 |       98.30% |              |       0.0736 |              |          0.0020 |
|     129 |         129 |       00:01:06 |       98.01% |              |       0.0791 |              |          0.0020 |
|     130 |         130 |       00:01:06 |       99.01% |       95.45% |       0.0649 |       0.2286 |          0.0020 |
|     131 |         131 |       00:01:07 |       98.72% |              |       0.0659 |              |          0.0020 |
|     132 |         132 |       00:01:07 |       98.58% |              |       0.0757 |              |          0.0020 |
|     133 |         133 |       00:01:08 |       99.15% |              |       0.0620 |              |          0.0020 |
|     134 |         134 |       00:01:08 |       98.86% |              |       0.0613 |              |          0.0020 |
|     135 |         135 |       00:01:09 |       98.30% |              |       0.0669 |              |          0.0020 |
|     136 |         136 |       00:01:09 |       98.01% |              |       0.0722 |              |          0.0020 |
|     137 |         137 |       00:01:10 |       98.72% |              |       0.0635 |              |          0.0020 |
|     138 |         138 |       00:01:10 |       98.86% |              |       0.0614 |              |          0.0020 |
|     139 |         139 |       00:01:11 |       98.44% |              |       0.0675 |              |          0.0020 |
|     140 |         140 |       00:01:11 |       98.72% |       95.45% |       0.0581 |       0.2680 |          0.0020 |
|     141 |         141 |       00:01:12 |       98.72% |              |       0.0652 |              |          0.0020 |
|     142 |         142 |       00:01:12 |       98.15% |              |       0.0797 |              |          0.0020 |
|     143 |         143 |       00:01:13 |       98.01% |              |       0.0717 |              |          0.0020 |
|     144 |         144 |       00:01:13 |       98.58% |              |       0.0701 |              |          0.0020 |
|     145 |         145 |       00:01:14 |       99.01% |              |       0.0603 |              |          0.0020 |
|     146 |         146 |       00:01:14 |       99.01% |              |       0.0526 |              |          0.0020 |
|     147 |         147 |       00:01:15 |       98.58% |              |       0.0628 |              |          0.0020 |
|     148 |         148 |       00:01:15 |       99.01% |              |       0.0598 |              |          0.0020 |
|     149 |         149 |       00:01:15 |       98.44% |              |       0.0576 |              |          0.0020 |
